"Forecasting Zone","Year","Building Type","Mid Case (M.Sq.Ft.)","Low Case (M.Sq.Ft.) ","High Case (M.Sq.Ft.)"
1,1981,"Hotel/Motels",32.8621787267317,32.8621787267317,32.8621787267317
1,1982,"Hotel/Motels",33.8174951190823,33.8174951190823,33.8174951190823
1,1983,"Hotel/Motels",35.0164455196485,35.0164455196485,35.0164455196485
1,1984,"Hotel/Motels",36.7876493993858,36.7876493993858,36.7876493993858
1,1985,"Hotel/Motels",38.8777753982698,38.8777753982698,38.8777753982698
1,1986,"Hotel/Motels",41.6334263490921,41.6334263490921,41.6334263490921
1,1987,"Hotel/Motels",45.3351585699074,45.3351585699074,45.3351585699074
1,1988,"Hotel/Motels",47.562423647147,47.562423647147,47.562423647147
1,1989,"Hotel/Motels",48.7772903564621,48.7772903564621,48.7772903564621
1,1990,"Hotel/Motels",49.943322562149,49.943322562149,49.943322562149
1,1991,"Hotel/Motels",50.6583524594369,50.6583524594369,50.6583524594369
1,1992,"Hotel/Motels",50.9983290301713,50.9983290301713,50.9983290301713
1,1993,"Hotel/Motels",50.9892145780219,50.9892145780219,50.9892145780219
1,1994,"Hotel/Motels",50.9967316394072,50.9967316394072,50.9967316394072
1,1995,"Hotel/Motels",50.9686718083386,50.9686718083386,50.9686718083386
1,1996,"Hotel/Motels",51.2616326010181,51.2616326010181,51.2616326010181
1,1997,"Hotel/Motels",51.6260824707316,51.6260824707316,51.6260824707316
1,1998,"Hotel/Motels",52.2699126041474,52.2699126041474,52.2699126041474
1,1999,"Hotel/Motels",54.4158051150682,54.4158051150682,54.4158051150682
1,2000,"Hotel/Motels",56.9254059911007,56.9254059911007,56.9254059911007
1,2001,"Hotel/Motels",58.839654415048,58.839654415048,58.839654415048
1,2002,"Hotel/Motels",61.505365558723,61.505365558723,61.505365558723
1,2003,"Hotel/Motels",62.1228304648306,62.1228304648306,62.1228304648306
1,2004,"Hotel/Motels",62.733880411499,62.733880411499,62.733880411499
1,2005,"Hotel/Motels",63.1525621781849,63.1525621781849,63.1525621781849
1,2006,"Hotel/Motels",63.3150043942693,63.3150043942693,63.3150043942693
1,2007,"Hotel/Motels",63.8229097570157,63.8229097570157,63.8229097570157
1,2008,"Hotel/Motels",64.4343745308613,64.4343745308613,64.4343745308613
1,2009,"Hotel/Motels",64.429316879446,64.429316879446,64.429316879446
1,2010,"Hotel/Motels",64.4179557408414,64.4179557408414,64.4179557408414
1,2011,"Hotel/Motels",64.2290313746498,64.2290313746498,64.2290313746498
1,2012,"Hotel/Motels",64.1463616376501,64.1463616376501,64.1463616376501
1,2013,"Hotel/Motels",64.0325564285926,64.0325564285926,64.0325564285926
1,2014,"Hotel/Motels",64.262826372009,64.262826372009,64.262826372009
1,2015,"Hotel/Motels",64.2422070263063,64.2422070263063,64.2422070263063
1,2016,"Hotel/Motels",64.8924323362827,64.8924323362827,64.8924323362827
1,2017,"Hotel/Motels",65.83512072988,65.83512072988,65.83512072988
1,2018,"Hotel/Motels",66.8526903608609,66.8526903608609,66.8526903608609
1,2019,"Hotel/Motels",68.3352096956359,68.3352096956359,68.3352096956359
1,2020,"Hotel/Motels",69.5122317304692,69.5122317304692,69.5122317304692
1,2021,"Hotel/Motels",69.9487933386721,69.9487933386721,69.9487933386721
1,2022,"Hotel/Motels",70.7070204760216,70.7116408622777,70.7031531523545
1,2023,"Hotel/Motels",71.4255936120431,71.4488240148947,71.4099638241787
1,2024,"Hotel/Motels",72.1379771125816,72.16317323993,72.1320660517721
1,2025,"Hotel/Motels",72.8613468141266,72.8770065935404,72.869287034841
1,2026,"Hotel/Motels",73.5759180067826,73.5757204894434,73.6016551120581
1,2027,"Hotel/Motels",74.2924370699221,74.2732957343467,74.3393694552783
1,2028,"Hotel/Motels",75.0091813035859,74.9668870430691,75.0810902991252
1,2029,"Hotel/Motels",75.7540471465823,75.6834723843504,75.8547146482138
1,2030,"Hotel/Motels",76.5029738199253,76.3993674076798,76.6362063241535
1,2031,"Hotel/Motels",77.2551847861728,77.1148882809352,77.4257922966355
1,2032,"Hotel/Motels",78.0099023886307,77.8296165723671,78.222495929279
1,2033,"Hotel/Motels",78.7632981760289,78.5387350053791,79.0212585331345
1,2034,"Hotel/Motels",79.5220331558343,79.2493427673543,79.82871730965
1,2035,"Hotel/Motels",80.2818131435135,79.9570515736679,80.6406319120559
1,2036,"Hotel/Motels",81.0456106007672,80.6651805845446,81.4600947272683
1,2037,"Hotel/Motels",81.8124700662253,81.3728462946231,82.2862689699674
1,2038,"Hotel/Motels",82.5820404989832,82.0796852072827,83.1192756879535
1,2039,"Hotel/Motels",83.3554322071178,82.7867443331639,83.9597595564425
1,2040,"Hotel/Motels",84.1323197287105,83.4935374608314,84.8073882301393
1,2041,"Hotel/Motels",84.910330635659,84.1978421484289,85.659636077168
1,2042,"Hotel/Motels",85.6913099141048,84.9018633900127,86.5183347776626
1,2043,"Hotel/Motels",86.4734962712576,85.6034902185298,87.382454554051
1,2044,"Hotel/Motels",87.2597645767071,86.3055833236475,88.2544735614792
1,2045,"Hotel/Motels",88.0478414329051,87.006322492312,89.1319837731309
1,2046,"Hotel/Motels",88.8370759673218,87.7047919273101,90.0145592868463
1,2047,"Hotel/Motels",89.6295691140953,88.4027575012831,90.903741899517
1,2048,"Hotel/Motels",90.4224975947498,89.0974823628308,91.7975092475145
1,2049,"Hotel/Motels",91.2194442207164,89.79242790689,92.6984225250736
1,2050,"Hotel/Motels",92.0183954250876,90.4857249246225,93.6042407053181
1,1964,"Large Office",65.2723066311816,65.2723066311816,65.2723066311816
1,1965,"Large Office",65.2723066311816,65.2723066311816,65.2723066311816
1,1966,"Large Office",66.1204467494185,66.1204467494185,66.1204467494185
1,1967,"Large Office",69.8792034751904,69.8792034751904,69.8792034751904
1,1968,"Large Office",72.5126109809725,72.5126109809725,72.5126109809725
1,1969,"Large Office",76.5218517084174,76.5218517084174,76.5218517084174
1,1970,"Large Office",80.3171270523646,80.3171270523646,80.3171270523646
1,1971,"Large Office",83.1298335366616,83.1298335366616,83.1298335366616
1,1972,"Large Office",86.848491894147,86.848491894147,86.848491894147
1,1973,"Large Office",89.7163398675924,89.7163398675924,89.7163398675924
1,1974,"Large Office",96.4377940251791,96.4377940251791,96.4377940251791
1,1975,"Large Office",101.352738267404,101.352738267404,101.352738267404
1,1976,"Large Office",103.153844688914,103.153844688914,103.153844688914
1,1977,"Large Office",105.303046639299,105.303046639299,105.303046639299
1,1978,"Large Office",107.678964128864,107.678964128864,107.678964128864
1,1979,"Large Office",110.455490811939,110.455490811939,110.455490811939
1,1980,"Large Office",114.146635435518,114.146635435518,114.146635435518
1,1981,"Large Office",119.084788666166,119.084788666166,119.084788666166
1,1982,"Large Office",124.778955606671,124.778955606671,124.778955606671
1,1983,"Large Office",131.161254409997,131.161254409997,131.161254409997
1,1984,"Large Office",137.571186931454,137.571186931454,137.571186931454
1,1985,"Large Office",149.168851813915,149.168851813915,149.168851813915
1,1986,"Large Office",162.185742786022,162.185742786022,162.185742786022
1,1987,"Large Office",172.188747188511,172.188747188511,172.188747188511
1,1988,"Large Office",178.050080540208,178.050080540208,178.050080540208
1,1989,"Large Office",183.074188582781,183.074188582781,183.074188582781
1,1990,"Large Office",187.621215746474,187.621215746474,187.621215746474
1,1991,"Large Office",190.098539435686,190.098539435686,190.098539435686
1,1992,"Large Office",191.480696244669,191.480696244669,191.480696244669
1,1993,"Large Office",193.585080149339,193.585080149339,193.585080149339
1,1994,"Large Office",194.906909196484,194.906909196484,194.906909196484
1,1995,"Large Office",195.304065493217,195.304065493217,195.304065493217
1,1996,"Large Office",196.224179757536,196.224179757536,196.224179757536
1,1997,"Large Office",198.558441639008,198.558441639008,198.558441639008
1,1998,"Large Office",202.986688070446,202.986688070446,202.986688070446
1,1999,"Large Office",210.803598873821,210.803598873821,210.803598873821
1,2000,"Large Office",217.884202837691,217.884202837691,217.884202837691
1,2001,"Large Office",224.595693525171,224.595693525171,224.595693525171
1,2002,"Large Office",235.279948367973,235.279948367973,235.279948367973
1,2003,"Large Office",242.485420350109,242.485420350109,242.485420350109
1,2004,"Large Office",243.256274377405,243.256274377405,243.256274377405
1,2005,"Large Office",245.116139522381,245.116139522381,245.116139522381
1,2006,"Large Office",245.391456560847,245.391456560847,245.391456560847
1,2007,"Large Office",245.851605077976,245.851605077976,245.851605077976
1,2008,"Large Office",248.373216309311,248.373216309311,248.373216309311
1,2009,"Large Office",250.269634157964,250.269634157964,250.269634157964
1,2010,"Large Office",251.146024105026,251.146024105026,251.146024105026
1,2011,"Large Office",250.82341322148,250.82341322148,250.82341322148
1,2012,"Large Office",250.347515715719,250.347515715719,250.347515715719
1,2013,"Large Office",250.084934831363,250.084934831363,250.084934831363
1,2014,"Large Office",250.691598439665,250.691598439665,250.691598439665
1,2015,"Large Office",252.923372196474,252.923372196474,252.923372196474
1,2016,"Large Office",255.698893671044,255.698893671044,255.698893671044
1,2017,"Large Office",260.739686541803,260.739686541803,260.739686541803
1,2018,"Large Office",265.581677449048,265.581677449048,265.581677449048
1,2019,"Large Office",269.964416585676,269.964416585676,269.964416585676
1,2020,"Large Office",273.577703064762,273.577703064762,273.577703064762
1,2021,"Large Office",275.857358628304,275.857358628304,275.857358628304
1,2022,"Large Office",280.772145608628,280.868527881143,280.678760775409
1,2023,"Large Office",283.49600375594,283.920647704296,283.015679991734
1,2024,"Large Office",286.106181911803,286.828056082418,285.628896940212
1,2025,"Large Office",288.685656302219,289.510928830863,288.24966462541
1,2026,"Large Office",291.242281308086,292.052706841014,290.884588509478
1,2027,"Large Office",293.917586642082,294.695310586471,293.656043972317
1,2028,"Large Office",296.630674789497,297.339260069802,296.475209314307
1,2029,"Large Office",299.439690909778,300.039067057319,299.406924019875
1,2030,"Large Office",302.285100765334,302.733345022356,302.399500930806
1,2031,"Large Office",305.191561861288,305.46587513454,305.511232629162
1,2032,"Large Office",308.07495258299,308.165311470174,308.647621470923
1,2033,"Large Office",310.89891751536,310.770723271573,311.738794538155
1,2034,"Large Office",313.751729352598,313.374866336276,314.866949699357
1,2035,"Large Office",316.60531525806,315.957409444256,318.008783293515
1,2036,"Large Office",319.461811933623,318.524921001103,321.170037718902
1,2037,"Large Office",322.328870551426,321.085491504097,324.361401669045
1,2038,"Large Office",325.232258125784,323.665666907682,327.622185348192
1,2039,"Large Office",328.172893056723,326.26504116981,330.937265357217
1,2040,"Large Office",331.13373674864,328.862622135877,334.292170489042
1,2041,"Large Office",334.070986236789,331.419313270116,337.64193312922
1,2042,"Large Office",336.977477469183,333.934475440332,340.972409181409
1,2043,"Large Office",339.848492377089,336.399367309873,344.302327480773
1,2044,"Large Office",342.66757050679,338.797947217465,347.608062498755
1,2045,"Large Office",345.416791732602,341.122097268232,350.864253521318
1,2046,"Large Office",348.107289959924,343.376288777357,354.086402956729
1,2047,"Large Office",350.758834718131,345.573507781109,357.277138514307
1,2048,"Large Office",353.380596003457,347.723439391276,360.472383098973
1,2049,"Large Office",355.977858188013,349.828402339038,363.642709388969
1,2050,"Large Office",358.530337409547,351.873189713381,366.769075884532
1,1964,"Miscellaneous",110.209784809537,110.209784809537,110.209784809537
1,1965,"Miscellaneous",110.298515817778,110.298515817778,110.298515817778
1,1966,"Miscellaneous",112.500999905656,112.500999905656,112.500999905656
1,1967,"Miscellaneous",117.205785168044,117.205785168044,117.205785168044
1,1968,"Miscellaneous",120.147771871693,120.147771871693,120.147771871693
1,1969,"Miscellaneous",123.054339031622,123.054339031622,123.054339031622
1,1970,"Miscellaneous",125.437395369188,125.437395369188,125.437395369188
1,1971,"Miscellaneous",128.060698040881,128.060698040881,128.060698040881
1,1972,"Miscellaneous",131.322023795149,131.322023795149,131.322023795149
1,1973,"Miscellaneous",133.817092374148,133.817092374148,133.817092374148
1,1974,"Miscellaneous",135.901525766634,135.901525766634,135.901525766634
1,1975,"Miscellaneous",138.819047221738,138.819047221738,138.819047221738
1,1976,"Miscellaneous",141.425923033518,141.425923033518,141.425923033518
1,1977,"Miscellaneous",142.970820836692,142.970820836692,142.970820836692
1,1978,"Miscellaneous",145.872146814743,145.872146814743,145.872146814743
1,1979,"Miscellaneous",148.189721522353,148.189721522353,148.189721522353
1,1980,"Miscellaneous",149.991687123803,149.991687123803,149.991687123803
1,1981,"Miscellaneous",152.176287112604,152.176287112604,152.176287112604
1,1982,"Miscellaneous",153.619466433743,153.619466433743,153.619466433743
1,1983,"Miscellaneous",155.897807554212,155.897807554212,155.897807554212
